sequence_id,forward,reverse,score
00008e5323e7410f0f87769552673b9e9d8107b8deaccd05fcd74525dd63b93d,-366.3654198870063,-311.93258698284626,-339.14900343492627
0002dd56332cfca8c27ad4df373dbc0bfdd77d52142fc39371e73d3ebcee8c8f,-221.4323252439499,-222.09017790853977,-221.76125157624483
0007e1aeec6019a0448d19c50b5c15c127f93fbec2480a20980d255de2faa245,-405.86906949430704,-365.4665893120691,-385.6678294031881
000954bb10c993ef863df200e135eddd16c2f60c7fee23ea29c3297f6fe1afc6,-244.49356392771008,-358.7419575750828,-301.6177607513964
000a29360b62ac373b7aecb6858668ef7c525b314788b481eb19d722cee49538,-381.2811902277172,-271.6459376215935,-326.4635639246553
000bb0e4141c78c1262ad55efcf21983ae7f88cdf3213f6456a913ba7c02864f,-53.4078360684216,-55.85272630210966,-54.63028118526563
00168b457470c8816bda0866eb22d68ed961da83060f0926a79d9f346d926aa6,-206.78899048268795,-214.1975423805416,-210.4932664316148
001d1c1ad4b5430ea0c047d1d6146faaa075927bea7848e54f7554f5b76bb3c6,-107.21664587873966,-99.8326490726322,-103.52464747568592
002a71b725298b13435c154c9f731ab1294026a93443ac8594a28e384c362155,-245.9808198958636,-249.46997893974185,-247.7253994178027
002c3e1809dab7419d467c8bdb41fd931701799596681fbba2e19c041b6c5e30,-401.38325014710426,-344.8410128355026,-373.1121314913034
002f0732ee31c8337b1007b396605f7a6d381f41c6af52482054612b14a9c5ff,-158.86778670921922,-158.0619874726981,-158.46488709095863
0030d650dc0d0804c81f3357380ce50ef129f569af3ba96083a0aa39f1c8d3fa,-229.68950379639864,-228.36776822060347,-229.02863600850105
00333778927a72d4aeb6f62cd6315499c72c84798f1d8747779cdc55f9065433,-73.71305186394602,-72.70585320843384,-73.20945253618993
003645f3aa76446868ea222a8636d552e867f91935571749148b86ac5c41e70d,-450.1965290959925,-420.5848492849618,-435.39068919047713
0038c6ca312f8f0934e3887f10af7605be04cb61fa43c9b21d841ec6476e3794,-191.97396731749177,-203.9511864110828,-197.96257686428729
003c1b2ede81607116acc1d00e7d90ddd160c869679ef4b769d72bf6801ebd92,-352.24317416362464,-294.48723739385605,-323.36520577874035
003fcaf43d6ffa48741054ee7bfc169d6d22d9cf06a4f0cdda41d6c7ecd51762,-251.30833318829536,-255.4001931101084,-253.35426314920187
